Element,Atomic_Number,Line,Energy_keV,Relative_Intensity
As,33,Kα2,10.5078,50
As,33,Kβ1,11.7262,62
Se,34,Kα1,11.2224,100
Se,34,Kα2,11.1814,50
Se,34,Kβ1,12.4959,64
Br,35,Kα1,11.9242,100
Br,35,Kα2,11.8776,50
Br,35,Kβ1,13.2914,66
Kr,36,Kα1,12.6489,100
Kr,36,Kα2,12.5980,50
Kr,36,Kβ1,14.1121,68
Rb,37,Kα1,13.3953,100
Rb,37,Kα2,13.3358,50
Rb,37,Kβ1,14.9613,70
Sr,38,Kα1,14.1650,100
Sr,38,Kα2,14.0979,50
Sr,38,Kβ1,15.8357,72
Y,39,Kα1,14.9584,100
Y,39,Kα2,14.8829,50
Y,39,Kβ1,16.7378,74
Zr,40,Kα1,15.7751,100
Zr,40,Kα2,15.6909,50
Zr,40,Kβ1,17.6678,76
Nb,41,Kα1,16.6151,100
Nb,41,Kα2,16.5210,50
Nb,41,Kβ1,18.6226,78
Mo,42,Kα1,17.4793,100
Mo,42,Kα2,17.3743,50
Mo,42,Kβ1,19.6083,80
Tc,43,Kα1,18.3671,100
Tc,43,Kα2,18.2508,50
Tc,43,Kβ1,20.6190,82
Ru,44,Kα1,19.2794,100
Ru,44,Kα2,19.1504,50
Ru,44,Kβ1,21.6568,84
Rh,45,Kα1,20.2161,100
Rh,45,Kα2,20.0737,50
Rh,45,Kβ1,22.7236,86
Pd,46,Kα1,21.1771,100
Pd,46,Kα2,21.0201,50
Pd,46,Kβ1,23.8187,88
Ag,47,Kα1,22.1629,100
Ag,47,Kα2,21.9903,50
Ag,47,Kβ1,24.9424,90
Cd,48,Kα1,23.1736,100
Cd,48,Kα2,22.9841,50
Cd,48,Kβ1,26.0955,92
In,49,Kα1,24.2097,100
In,49,Kα2,24.0020,50
